STOLARCZYK,5596
KRUPIŃSKI,5589
MOTYKA,5570
SŁOWIŃSKI,5570
MISZTAL,5565
JAŚKIEWICZ,5554
MATUSZAK,5539
BURY,5533
RUSIN,5532
WOLAK,5527
BIAŁY,5524
KASZUBA,5523
KUCHTA,5519
FLORCZAK,5514
RUCIŃSKI,5509
GRZYWACZ,5507
KUC,5500
KAPUSTA,5494
KULIG,5479
PYTEL,5477
SIEDLECKI,5468
KOZA,5466
BOŻEK,5451
KACZMARSKI,5445
PACZKOWSKI,5445
JEZIERSKI,5443
SIERADZKI,5441
DOMINIAK,5432
NOGA,5432
PROKOP,5420
ZWOLIŃSKI,5415
MALICKI,5413
MICHAŁEK,5405
OLCZAK,5405
GWÓŹDŹ,5403
SKÓRA,5396
JANKOWIAK,5391
ZAGÓRSKI,5389
KĘPA,5376
ADAMUS,5365
GAŁKA,5363
WOJTAS,5360
DUDZIAK,5347
STĘPNIAK,5346
ŚWIERCZYŃSKI,5345
MODZELEWSKI,5341
IWAŃSKI,5338
PŁONKA,5337
SITEK,5337
SZYSZKA,5325
SOCHACKI,5324
DEC,5312
BIELAK,5304
BIEŃKOWSKI,5299
JACKOWSKI,5297
JANUSZ,5282
SŁAWIŃSKI,5279
CZECHOWSKI,5276
DOBRZYŃSKI,5267
KNAPIK,5265
PAWLIKOWSKI,5242
DUDZIK,5238
MAŃKOWSKI,5225
PARTYKA,5223
KOLASA,5209
LIPKA,5205
BRODA,5204
STACHURA,5203
JURKOWSKI,5199
KWIECIŃSKI,5191
FILIPOWICZ,5190
WOŚ,5166
ROSA,5150
MROCZKOWSKI,5135
MAJKA,5118
SZCZERBA,5114
ADAMCZAK,5108
STANISŁAWSKI,5099
WŁODARSKI,5099
SKALSKI,5093
ADAMEK,5092
TRZECIAK,5090
MAŚLANKA,5089
SZATKOWSKI,5088
KITA,5085
PASZKOWSKI,5077
MOLENDA,5064
KOWALCZUK,5062
KIEŁBASA,5038
SKOWRONEK,5033
PUCHALSKI,5029
CHMURA,5028
CHOJNOWSKI,5024
MICHALCZYK,5014
ZDUNEK,5014
KRUSZEWSKI,5010
SALAMON,4997
ŻUK,4992
KOTOWSKI,4985
KOBUS,4982
AUGUSTYN,4973
BUCZYŃSKI,4970
WYSZYŃSKI,4970
MROZEK,4967
PIECHOTA,4928
WARCHOŁ,4917
JANUSZEWSKI,4914
ADAMIAK,4912
KOGUT,4910
DRABIK,4906
NIEMCZYK,4900
LENART,4887
BANASIK,4880
MARCHEWKA,4879
DRÓŻDŻ,4871
NIEDZIELSKI,4867
KOŁAKOWSKI,4864
ROBAK,4857
TOMALA,4855
CHUDY,4851
GŁOGOWSKI,4849
STOLARSKI,4841
BUDZYŃSKI,4836
MACIĄG,4822
GRZESIK,4807
SOŁTYSIAK,4799
PILCH,4798
KŁOSOWSKI,4797
KOPER,4797
TOKARZ,4791
KAWA,4788
WYPYCH,4781
ADAMOWICZ,4780
DĄBKOWSKI,4779
JARZĄBEK,4776
PIŁAT,4774
GŁĄB,4773
NIEDŹWIECKI,4767
BĄKOWSKI,4760
CHUDZIK,4754
PRZYBYŁ,4742
ŻYŁA,4739
KASPEREK,4726
WIĄCEK,4723
FRĄTCZAK,4722
JAGIELSKI,4722
KALISZ,4722
MIŚKIEWICZ,4722
PORĘBSKI,4722
JAROS,4717
CZEKAJ,4711
JURCZAK,4707
STAŃCZAK,4707
SURMA,4704
ZIĘTEK,4701
KANIEWSKI,4700
RUDZIŃSKI,4696
KOS,4674
BARTNIK,4661
GORCZYCA,4658
GADOMSKI,4649
TRACZ,4648
BUCZKOWSKI,4633
KUŹMA,4630
RYŚ,4630
BALCERZAK,4617
MALIK,4613
SOJKA,4613
KUCIŃSKI,4611
URBANEK,4604
SZELĄG,4601
PIETRUSZKA,4593
STACHURSKI,4582
CZERNIAK,4576
GOLEC,4569
BŁASZCZAK,4558
KOPACZ,4552
WOLIŃSKI,4550
BIAŁKOWSKI,4547
KORZENIOWSKI,4545
PIOTROWICZ,4543
ZABŁOCKI,4518
PRUS,4513
RUDZKI,4509
ŚLĘZAK,4506
MOSKAL,4504
STACHOWICZ,4504
RYBARCZYK,4503
TRELA,4498
URBANOWICZ,4493
LESIAK,4490
GRUDZIEŃ,4488
WARZECHA,4488
OLCZYK,4487
RUDNIK,4473
SĘK,4472
SZUBA,4468
RADECKI,4464
KULIŃSKI,4455
ZIMNY,4455
SZYMKOWIAK,4451
KOSTECKI,4450
KOSOWSKI,4438
MAGIERA,4434
OSSOWSKI,4422
KMIEĆ,4420
OLEKSY,4418
SKORUPA,4418
